15
sponge paper air water dragon devil lightning gun rock fire scissors snake human tree wolf 
sponge:sponge ties 
sponge:paper sponge soaks
sponge:air sponge has-pockets-of
sponge:water sponge absorbs
sponge:dragon sponge cleanses
sponge:devil sponge cleanses
sponge:lightning sponge conducts
sponge:gun sponge cleans
sponge:rock rock crushes
sponge:fire fire burns
sponge:scissors scissors cuts
sponge:snake snake swallows
sponge:human human cleans-with
sponge:tree tree outlives
sponge:wolf wolf chews-up
paper:sponge sponge soaks
paper:paper ties 
paper:air paper fans
paper:water paper floats-on
paper:dragon paper rebukes
paper:devil paper rebukes
paper:lightning paper defines
paper:gun paper outlaws
paper:rock paper beats
paper:fire fire burns
paper:scissors scissors cuts
paper:snake snake nests-in
paper:human human writes-on
paper:tree tree becomes
paper:wolf wolf chews-up
air:sponge sponge has-pockets-of
air:paper paper fans
air:air ties 
air:water air evaporates
air:dragon air freezes
air:devil air chokes
air:lightning air creates
air:gun air tarnishes
air:rock air erodes
air:fire air blows-out
air:scissors scissors swishes-through
air:snake snake breathes
air:human human breathes
air:tree tree produces
air:wolf wolf breathes
water:sponge sponge absorbs
water:paper paper floats-on
water:air air evaporates
water:water ties 
water:dragon water drowns
water:devil water drowns
water:lightning water conducts
water:gun water rusts
water:rock water erodes
water:fire water puts-out
water:scissors water rusts
water:snake snake drinks
water:human human drinks
water:tree tree drinks
water:wolf wolf drinks
dragon:sponge sponge cleans
dragon:paper paper rebukes
dragon:air dragon freezes
dragon:water water drowns
dragon:dragon ties 
dragon:devil dragon commands
dragon:lightning dragon breathes
dragon:gun dragon immune-to
dragon:rock dragon rests-on
dragon:fire dragon breathes
dragon:scissors dragon immune-to
dragon:snake dragon spawns
dragon:human human slays
dragon:tree tree shelters
dragon:wolf wolf outruns
devil:sponge sponge cleanses
devil:paper paper rebukes
devil:air air chokes
devil:water water drowns
devil:dragon dragon commands 
devil:devil ties 
devil:lightning devil casts
devil:gun devil immune-to
devil:rock devil hurls
devil:fire devil breathes
devil:scissors devil immune-to
devil:snake devil eats
devil:human devil possesses
devil:tree tree shelters
devil:wolf wolf bites-heiny-of
lightning:sponge sponge conducts
lightning:paper paper defines
lightning:air air creates
lightning:water water conducts
lightning:dragon dragon breathes
lightning:devil devil casts
lightning:lightning ties 
lightning:gun lightning melts
lightning:rock lightning splits
lightning:fire lightning starts
lightning:scissors lightning melts
lightning:snake lightning strikes
lightning:human lightning strikes
lightning:tree lightning splits
lightning:wolf wolf outruns
gun:sponge sponge cleans
gun:paper paper outlaws
gun:air air tarnishes
gun:water water rusts
gun:dragon dragon immune-to
gun:devil devil immune-to
gun:lightning lightning melts
gun:gun ties 
gun:rock gun targets
gun:fire gun sparks
gun:scissors gun outclasses
gun:snake gun shoots
gun:human gun shoots
gun:tree gun targets
gun:wolf gun shoots
rock:sponge rock crushes
rock:paper paper covers
rock:air air erodes
rock:water water erodes
rock:dragon dragon rests-on
rock:devil devil hurls
rock:lightning lightning splits
rock:gun gun targets
rock:rock ties 
rock:fire rock pounds-out
rock:scissors rock crushes
rock:snake rock crushes
rock:human rock crushes
rock:tree rock blocks-growth
rock:wolf rock crushes
fire:sponge fire burns
fire:paper fire burns
fire:air air blows-out
fire:water water puts-out
fire:dragon dragon breathes
fire:devil devil breathes
fire:lightning lightning starts
fire:gun gun sparks
fire:rock rock pounds-out
fire:fire ties 
fire:scissors fire melts
fire:snake fire burns
fire:human fire burns
fire:tree fire burns
fire:wolf fire burns
scissors:sponge scissors cuts
scissors:paper scissors cuts
scissors:air scissors swishes-through
scissors:water water rusts
scissors:dragon dragon immune-to
scissors:devil devil immune-to
scissors:lightning lightning melts
scissors:gun gun outclasses
scissors:rock rock crushes
scissors:fire fire melts
scissors:scissors ties 
scissors:snake scissors cuts
scissors:human scissors cuts
scissors:tree scissors carves
scissors:wolf scissors cuts
snake:sponge snake swallows
snake:paper snake nests-in
snake:air snake breathes
snake:water snake drinks
snake:dragon dragon immune-to
snake:devil devil eats
snake:lightning lightning beats
snake:gun gun shoots
snake:rock rock crushes
snake:fire fire burns
snake:scissors scissors cuts
snake:snake ties 
snake:human snake bites
snake:tree snake nests-in
snake:wolf wolf bites
human:sponge human cleans-wit
human:paper paper writes-on
human:air human breathes
human:water human drinks
human:dragon human slays
human:devil devil possesses
human:lightning lightning strikes
human:gun gun shoots
human:rock rock crushes
human:fire fire burnss
human:scissors scissors cuts
human:snake snake bites
human:human ties 
human:tree human plants
human:wolf human tamess
tree:sponge sponge beats
tree:paper tree becomes
tree:air tree produces
tree:water tree shelters
tree:dragon tree shelters
tree:devil tree imprisons
tree:lightning lightning splits
tree:gun gun targets
tree:rock rock blocks-growth-of
tree:fire fire burns
tree:scissors scissors carves
tree:snake tree nests-in
tree:human human plants
tree:tree ties 
tree:wolf tree shelters
wolf:sponge wolf chews-up
wolf:paper wolf chews-up
wolf:air wolf breathes
wolf:water wolf drinks
wolf:dragon wolf outruns
wolf:devil devil bites-heiny-of
wolf:lightning wolf outruns
wolf:gun gun shoots
wolf:rock rock crushes
wolf:fire fire burns
wolf:scissors scissors cuts
wolf:snake snake bites
wolf:human human tames
wolf:tree tree shelters
wolf:wolf ties 
